Score,Date,Quote
Half True,"June 1, 2015","Today, ""the United States is the most respected country on Earth."""
Half True,"January 20, 2015","""In Iraq and Syria, American leadership, including our military power, is stopping (the Islamic State’s) advance."""
Half True,"January 20, 2015","""Since 2010, America has put more people back to work than Europe, Japan, and all advanced economies combined."""
Half True,"December 4, 2014",A bill from U.S. Rep. Ted Yoho attempts to restrict the administration's ability to conduct national security and criminal background checks on undocumented immigrants.
Half True,"November 20, 2014","Citing his efforts to secure the border, Obama said, ""Overall, the number of people trying to cross our border illegally is the lowest it has been since the 1970s."""
Half True,"November 20, 2014","""The actions I’m taking"" are ""the kinds of actions taken by every single Republican president and every single Democratic president for the past half-century."""
Half True,"November 16, 2014","""Over the last few years, we’ve put more people back to work than all the other advanced economies combined."""
Half True,"November 9, 2014","""We've created more jobs in the United States than every other advanced economy combined since I came into office."""
Half True,"October 3, 2014","""The states that have raised the minimum wage (this year) have had faster job growth than the states that haven’t raised the minimum wage."""
Half True,"October 2, 2014","""When I took office, the deficit was nearly 10 percent of our economy. Today, it's approaching 3 percent."""
Half True,"April 11, 2014","The U.S. Justice Department has ""taken on more than 100 voting rights cases since 2009."""
Half True,"April 1, 2014","""More than 3 million young adults ... have gained insurance under (the Affordable Care Act) by staying on their family’s plan."""
Half True,"March 20, 2014","""Our high school graduation rate is the highest on record."""
Half True,"January 31, 2014","""What is and isn't a Schedule I narcotic is a job for Congress."""
Half True,"January 28, 2014","""Over the past eight years, the United States has reduced our total carbon pollution more than any other nation on Earth."""
Half True,"January 7, 2014","""Unemployment insurance kept more than 620,000 children out of poverty in 2012."""
Half True,"December 4, 2013","The minimum wage ""in real terms right now is below where it was when Harry Truman was in office."""
Half True,"September 26, 2013","""In states where the federal government helps run these (health care) marketplaces, the average American will have more than 50 different plans to choose from, with different levels of coverage."""
Mostly True,"June 22, 2017","The Senate bill ""hands enormous tax cuts to the rich and to the drug and insurance industries, paid for by cutting health care for everybody else."""
Mostly True,"March 23, 2017","""The vast majority of marketplace enrollees have experienced no average premium hike at all."""
Mostly True,"August 2, 2016","Because of the Trans-Pacific Partnership ""we’ve got a country like Malaysia taking really serious efforts to crack down on human trafficking."""
Mostly True,"August 2, 2016","The Trans-Pacific Partnership ""knocks out 18,000 tariffs that other countries place on American products and goods."""
Mostly True,"July 27, 2016","""Almost every country on Earth sees America as stronger and more respected today than they did eight years ago when I took office."""
Mostly True,"July 27, 2016","""Illegal immigration and the crime rate are as low as they’ve been in decades."""
Mostly True,"May 13, 2016","""The Nordic countries are some of the few countries"" that meet development aid goals."
Mostly True,"March 11, 2016","Illegal ""immigration is lower than it’s been in 40 years."""
Mostly True,"February 16, 2016","""There is not a single candidate in the Republican primary that thinks we should do anything about climate change."""
Mostly True,"January 12, 2016","""The United States of America, right now, has the strongest, most durable economy in the world."""
Mostly True,"January 12, 2016","""We spend more on our military than the next eight nations combined."""
Mostly True,"January 12, 2016","We have cut ""our deficits by almost three-quarters."""
Mostly True,"January 5, 2016","""A violent felon can buy (a gun) over the Internet with no background check, no questions asked."""
Mostly True,"November 15, 2015","""The United States (is) the largest provider of humanitarian assistance to displaced persons and refugees."""
Mostly True,"October 2, 2015","Today, the deficit is ""below the average deficits over the past 40 years."""
Mostly True,"October 1, 2015","""States with the most gun laws tend to have the fewest gun deaths."""
Mostly True,"July 21, 2015","Since 2009, ""we've cut homelessness (among veterans) by a third."""
Mostly True,"July 2, 2015","""We've cut the deficit by two-thirds."""
Mostly True,"June 25, 2015","""By one leading measure, what business owners pay out in wages and salaries is now finally growing faster than what they spend on health insurance"" for the first time in 17 years."
Mostly True,"June 20, 2015","""Here are the stats: Per population, we kill each other with guns at a rate 297x more than Japan, 49x more than France, 33x more than Israel."""
Mostly True,"April 17, 2015","Says Loretta Lynch’s nomination ""has been now sitting there longer than the previous seven attorney general nominees combined."""
Mostly True,"April 5, 2015","""Iran’s defense budget is $30 billion. Our defense budget is closer to $600 billion."""
Mostly True,"March 25, 2015","The Affordable Care Act is ""a major reason why we’ve seen 50,000 fewer preventable patient deaths in hospitals."""
Mostly True,"February 8, 2015","""Nearly one in five women in America has been a victim of rape or attempted rape."""
Mostly True,"January 20, 2015","""America is No. 1 in wind power."""
Mostly True,"January 20, 2015","""Our unemployment rate is now lower than it was before the financial crisis."""
Mostly True,"January 20, 2015","The United States is ""the only advanced country on Earth"" that doesn’t guarantee ""paid maternity leave to our workers."""
Mostly True,"January 20, 2015","We've seen ""our deficits cut by two-thirds."""
Mostly True,"January 8, 2015","""Today, home sales are up nearly 50 percent from where they were in the worst of the crisis."""
Mostly True,"January 9, 2015","""We’ve doubled the production of clean energy."""
True,"April 14, 2020","Republicans “have shown themselves willing to cut millions off their health insurance and eliminate preexisting condition protections for millions more, even in the middle of this public health crisis."""
True,"September 20, 2016","""Refugees are subject to more rigorous screening than the average tourist in the U.S."""
True,"September 13, 2016","Says Donald Trump's foundation ""took money other people gave to his charity and then bought a six-foot-tall painting of himself."""
True,"March 12, 2016","""Right now, here in Texas, wind power is already cheaper than dirty fossil fuels."""
True,"January 12, 2016","""Our businesses have created jobs every single month since (Obamacare) became law."""
True,"January 20, 2015","The economy is ""creating jobs at the fastest pace since 1999."""
True,"January 20, 2015","""America is No. 1 one in oil and gas."""
True,"January 7, 2015","Over the past five years, the American automobile industry has ""created about 500,000 new jobs."""
True,"December 21, 2014","""We're spending millions for each individual"" held at Guantanamo Bay, Cuba."
True,"September 1, 2014","""We cut our deficits by more than half."""
True,"April 10, 2014","During Lyndon B. Johnson’s first 20 years in Congress, ""he opposed every civil rights measure that came up for a vote."""
True,"January 28, 2014","""Every four minutes, another American home or business goes solar."""
True,"January 28, 2014","There is ""more oil produced at home than we buy from the rest of the world – the first time that’s happened in nearly 20 years."""
True,"January 28, 2014","During the past four years, ""average wages have barely budged."""
True,"January 16, 2014","""For the first time in nearly two decades, we produce more oil here in the United States than we buy from the rest of the world."""
True,"December 4, 2013","""By the time she turns 3 years old, a child born into a low-income home hears 30 million fewer words than a child from a well-off family."""
True,"November 6, 2013","""A million people … could get health insurance right away"" if Texas expanded Medicaid under Obamacare."
True,"August 6, 2013","""We now sell more products made in America to the rest of the world than ever before."""
True,"July 24, 2013","Says ""our deficits are falling at the fastest rate in 60 years."""
True,"July 24, 2013","""The income of the top 1 percent nearly quadrupled from 1979 to 2007, but the typical family’s incomes barely budged."""
True,"April 17, 2013","A bipartisan background check amendment ""outlawed any (gun) registry.  Plain and simple, right there in the text."""
True,"April 17, 2013","""The NRA used to support expanded background checks."""
True,"February 12, 2013","""The 12 hottest years on record have come in the last 15 years."""
True,"February 12, 2013","""After shedding jobs for more than 10 years, our manufacturers have added about 500,000 jobs over the past three."""
True,"January 16, 2013","""A majority of Americans agree with"" a ban on assault weapons. ""And by the way, so did Ronald Reagan."""
True,"October 22, 2012",Says Mitt Romney wants to add $2 trillion to defense budget that the military hasn’t asked for.
True,"October 16, 2012","Says Mitt Romney suggested that ""employers should be able to make the decision as to whether or not a woman gets contraception through her insurance coverage."""
True,"October 16, 2012","When Mitt Romney was governor of Massachusetts, he ""stood in front of a coal plant and pointed at it and said, ‘This plant kills.’"""
True,"October 3, 2012","The federal tax code has ""loopholes that are giving incentives for companies that are shipping jobs overseas."""
True,"October 3, 2012",Says Romney wants to add $2 trillion to the defense budget that the military hasn’t asked for.
False,"September 20, 2010","The Bush administration had been ""giving (auto companies) billions of dollars and just asking nothing in return."""
False,"April 21, 2010","""The vast majority of the money I got was from small donors all across the country.''"
False,"January 27, 2010","""We've excluded lobbyists from policymaking jobs."""
False,"December 3, 2009","When Obama was interviewed by American reporters in Asia, ""Not one of them asked me about Asia. Not one of them asked me about the economy."""
False,"September 9, 2009","Insurers delayed an Illinois man's treatment, ""and he died because of it."""
False,"September 9, 2009","Health reform will ""give every American the same opportunity"" to buy health insurance the way members of Congress do."
False,"September 9, 2009","Preventive care ""saves money."""
False,"August 20, 2009","""If we went back to the obesity rates that existed back in the 1980s, the Medicare system over several years could save as much as a trillion dollars."""
False,"August 11, 2009","""I have not said that I was a single-payer supporter."""
False,"August 5, 2009","Stimulus tax cuts ""began showing up in paychecks of 4.8 million Indiana households about three months ago."""
False,"July 22, 2009","Health insurance companies are ""making record profits, right now."""
False,"July 6, 2009","""We import more oil today than ever before."""
False,"March 10, 2009","""In eighth grade math, we’ve fallen to ninth place."""
False,"January 9, 2009","""There is no disagreement that we need action by our government, a recovery plan that will help to jump-start the economy."""
False,"October 17, 2008","""Senator McCain would pay for part of his (health care) plan by making drastic cuts in Medicare — $882-billion worth."""
False,"October 15, 2008","""The centerpiece of Senator McCain's education policy is to increase the voucher program in D.C. by 2,000 slots."""
False,"October 15, 2008","Under John McCain's health care plan, people get a $5,000 tax credit to buy a $12,000 health care policy, and ""that's a loss for you."""
False,"September 1, 2008","John McCain accused Barack Obama ""of letting infants die."""
False,"October 7, 2008","""Oil companies ...currently have 68-million acres that they're not using."""
False,"September 16, 2008","McCain ""has opposed stem cell research."""
False,"September 20, 2008:","""But if my opponent had his way, the millions of Floridians who rely on it would've had their Social Security tied up in the stock market this week."""
False,"August 16, 2008","""The fact is that although we have had a president who is opposed to abortion over the last eight years, abortions have not gone down.''"
False,"August 4, 2008","Oil companies ""haven't touched"" 68 million acres where they already have rights to drill."
False,"August 5, 2008","Fully inflating tires is ""a step that every expert says would absolutely reduce our oil consumption by 3 to 4 percent."""
False,"August 6, 2008","John McCain refuses to support a new bipartisan energy bill ""because it would take away tax breaks from oil companies like Exxon Mobil."""
False,"July 11, 2008","The U.S. government spends less on energy innovation ""than the pet food industry invests in its own products."""
False,"June 25, 2008","""Our National Guard, as we saw in the Midwest flooding, can't function as effectively as it could. I was talking to National Guard representatives. Fifteen of their 17 helicopters in this region were overseas during the flooding."""
False,"May 22, 2008","""I think we came down here (to Florida) one time ... but we weren't actively fundraising here."""
False,"April 16, 2008","""I have never said that I don't wear flag pins or refuse to wear flag pins."""
False,"April 14, 2008","""He's promising four more years of an administration that will push for the privatization of Social Security..."""
Mostly False,"August 11, 2009",Said his mother had to fight with health insurance companies for treatment because of a pre-existing condition.
Mostly False,"July 15, 2011","""The clear majority of Republican voters think that any deficit reduction package should have a balanced approach and should include some revenues."""
Mostly False,"May 10, 2011","""The (border) fence is now basically complete."""
Mostly False,"February 15, 2011","If there’s a government shutdown, ""people don’t get their Social Security checks."""
Mostly False,"January 25, 2011","""Veterans can now download their electronic medical records with a click of the mouse."""
Mostly False,"September 5, 2010","John Boehner said the jobs of ""teachers and nurses and police officers and firefighters"" are ""'government jobs' that weren't worth saving."""
Mostly False,"August 16, 2010","Milwaukee Mayor Tom Barrett ""has held the line on property taxes."""
Mostly False,"August 18, 2010","Republicans ""don't think it's a good idea"" to make the child care tax credit ""stronger."""
Mostly False,"August 14, 2010","""Some Republican leaders in Congress"" are ""pushing to make privatizing Social Security a key part of their legislative agenda if they win a majority in Congress this fall."""
Mostly False,"February 7, 2010",The Bush administration prosecuted 190 suspected terrorists in federal courts.
Mostly False,"February 1, 2010","""We're also cutting a Forest Service economic development program that strayed so far from any mission that it funded a music festival."""
Mostly False,"January 27, 2010","""Last week, the Supreme Court reversed a century of law that I believe will open the floodgates for special interests – including foreign corporations – to spend without limit in our elections."""
Mostly False,"December 22, 2009","""I didn't campaign on a public option."""
Mostly False,"October 17, 2009","""The Senate Finance Committee approved a reform proposal that has both Democratic and Republican support."""
Mostly False,"September 9, 2009","""It’s a plan that incorporates ideas from many of the people in this room tonight – Democrats and Republicans."""
Mostly False,"August 11, 2009","AARP is ""endorsing"" the health care reform bill."
Mostly False,"May 27, 2009","In the 100 days since its passage, the economic stimulus has ""saved or created nearly 150,000 jobs."""
Mostly False,"April 14, 2009","""Already we've identified $2 trillion in deficit reductions over the next decade."""
Mostly False,"March 24, 2009","""As a percentage of gross domestic product, we are reducing nondefense discretionary spending to its lowest level since the '60s, lower than it was under Reagan, lower than it was under Clinton, lower than it was under Bush, or both Bushes."""
Mostly False,"October 29, 2008:","""For my energy plan, my economic plan, and the other proposals you'll hear tonight, I've offered spending cuts above and beyond their cost."""
Mostly False,"October 27, 2008","McCain is ""selectively editing Joe Biden's words...Biden actually said about Barack Obama: 'They're gonna find out this guy's got steel in his spine.'"""
Mostly False,"October 9, 2008","""AIG executives ... (took) a junket for over $400,000. Twice."""
Mostly False,"October 3, 2008","John McCain's health care plan ""leaves you on your own to pay McCain’s health insurance tax."""
Mostly False,"September 26, 2008","Barack Obama ""pays for every dime"" of his spending plans."
Mostly False,"September 24, 2008","""I introduced a bill that would’ve helped stop the multimillion-dollar bonus packages that CEOs grab on their way out.. (McCain) opposed that idea."""
Mostly False,"September 16, 2008","""In January, I outlined a plan to help revive our faltering economy, which formed the basis for a bipartisan stimulus package that passed the Congress."""
Mostly False,"September 9, 2008","McCain ""voted to cut education funding, against accountability standards. He even proposed abolishing the Department of Education."""
Mostly False,"August 28, 2008","McCain ""said no to higher fuel-efficiency standards for cars."""
Mostly False,"August 19, 2008","""I argued for years that we need to move from a 'Musharraf policy' to a 'Pakistan policy.' """
Mostly False,"August 9, 2008","John McCain worries about nuclear waste in Arizona, but not in Nevada."
Half True,"July 24, 2013","""Our businesses have created nearly twice as many jobs in this recovery as they had at the same point in the last recovery, when there was no Obamacare."""
Half True,"July 18, 2013","Says last year ""13 million (health insurance) rebates went out, in all 50 states. Another 8.5 (million) rebates are being sent out this summer, averaging around 100 bucks each."""
Half True,"June 4, 2013","""My judicial nominees have waited three times longer to receive confirmation votes than those of my Republican predecessor."""
Half True,"May 23, 2013","Says that since he took office, ""there have been no large-scale attacks on the United States."""
Half True,"May 9, 2013","Says that according to a report, ""the tech sector now drives more than one-quarter of Austin’s economy."""
Half True,"May 4, 2013","Says ""we"" have put more boots on the U.S.-Mexico border ""than at any time in our history, and illegal crossings are down by nearly 80 percent from their peak in 2000."""
Half True,"April 30, 2013","For people with insurance, the only impact of the health care law ""is that their insurance is stronger, better and more secure than it was before. Full stop. That's it. They don't have to worry about anything else."""
Half True,"February 19, 2013","Says if Congress doesn’t avoid the sequester, ""tens of thousands of parents will have to scramble to find child care for their kids."""
Half True,"February 19, 2013","If the sequester hits, ""hundreds of thousands of Americans will lose access to primary care and preventive care like flu vaccinations and cancer screenings."""
Half True,"February 12, 2013","""Every dollar we invested in high-quality, early education programs can save more than $7 later on by boosting graduation rates, reducing teen pregnancy, even reducing crime."""
Half True,"February 12, 2013","""Already, the Affordable Care Act is helping to slow the growth of (Medicare’s) health care costs."""
Half True,"February 12, 2013","Says his administration has made ""progress"" on border enforcement by ""putting more boots on the southern border than at any time in our history and reducing illegal crossings to their lowest levels in 40 years."""
Half True,"October 17, 2012","""There are millions of women all across the country who rely on Planned Parenthood for not just contraceptive care; they rely on it for mammograms."""
Half True,"October 27, 2012","Says Mitt Romney’s plan makes ""catastrophic cuts to education."""
Half True,"October 22, 2012","Says Romney said ""we should ask Pakistan for permission"" to take a shot at Osama bin Laden."
Half True,"October 22, 2012","""Veterans’ unemployment is actually now lower than (the) general population. It was higher when I came into office."""
Half True,"October 22, 2012","""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia."""
Half True,"October 16, 2012","Says his administration put more border patrol agents on the U.S.-Mexico border than at ""any time in history, and the flow of undocumented workers across the border is actually lower than it's been in 40 years."""
Half True,"October 16, 2012","Says his administration has created ""5 million jobs … over the last 30 months in the private sector alone."""
Half True,"October 3, 2012","Says his deficit plan ""made some adjustments to (Simpson-Bowles), and we're putting it forward before Congress right now, a $4 trillion plan."""
Half True,"September 25, 2012","""In Romney's first budget (in Massachusetts), he cut $248.7 million from K-12 education."""
Half True,"October 3, 2012","Romney’s Medicare plan was estimated to ""cost the average senior about $6,000 a year."""
Half True,"October 3, 2012","Obama says he’s ""put forward a specific $4 trillion deficit reduction plan."""
Half True,"October 3, 2012","Says Mitt Romney's plan ""calls for a $5 trillion tax cut."""
Half True,"September 11, 2012","Says Romney and Ryan ""both backed proposals that would outlaw abortions even in cases of rape or incest."""
Half True,"September 12, 2012","Says he ""will protect your guaranteed benefits"" in Medicare while ""Mitt Romney would take away Medicare as guaranteed benefits."""
Half True,"September 10, 2012","Says that under Mitt Romney, 89 million Americans could be denied coverage if they have a pre-existing condition."
Half True,"September 6, 2012","""After 30 years of inaction, we raised fuel standards so that by the middle of the next decade, cars and trucks will go twice as far on a gallon of gas."""
Half True,"September 6, 2012","Mitt Romney ""said it was 'tragic' to end the war in Iraq."""
Half True,"September 6, 2012","Says his budget plan ""would cut our deficits by $4 trillion."""
Mostly True,"January 9, 2015","""Factories are opening their doors at the fastest pace in almost two decades."""
Mostly True,"December 21, 2014","Since the United States began negotiations with Iran, ""that's probably the first year and a half in which Iran has not advanced its nuclear program in the last decade."""
Mostly True,"December 3, 2014","""We are younger than our competitors, and this is entirely because of immigration."""
Mostly True,"October 28, 2014","Wisconsin Republicans ""repealed a statewide fair pay law"" that made ""sure women are treated fairly on the job."""
Mostly True,"October 18, 2014","""You cannot get (Ebola) from just riding on a plane or bus."""
Mostly True,"October 2, 2014","The cost of ""health care is now the single-biggest factor driving down"" the federal budget deficit."
Mostly True,"July 17, 2014","""We've recovered (from the recession) faster and come farther than almost any other advanced country on Earth."""
Mostly True,"June 23, 2014","""In 31 states, decent child care costs more than college tuition."""
Mostly True,"June 23, 2014","""The United States is the only developed country in the world without paid maternity leave."""
Mostly True,"March 5, 2014","""When I talk about (raising the) minimum wage ... half of Republicans agree with it."""
Mostly True,"February 27, 2014","""Fewer black and Latino men participate in the labor force, compared to young white men."""
Mostly True,"January 30, 2014","""Most folks’ wages haven’t gone up in over a decade."""
Mostly True,"January 28, 2014","Women ""make 77 cents for every dollar a man earns."""
Mostly True,"January 28, 2014","""For the first time in over a decade, business leaders around the world have declared that China is no longer the world’s No. 1 place to invest; America is."""
Mostly True,"January 28, 2014","""The federal minimum wage is worth about 20 percent less than it was when Ronald Reagan"" gave his first address to a joint session of Congress."
Mostly True,"January 18, 2014","""Thanks in part to our all-of-the-above strategy for American energy,"" the United States generates ""more natural gas than anybody."""
Mostly True,"October 30, 2013","Due to Obamacare, Arkansas ""has covered almost 14 percent of its uninsured already."""
Mostly True,"October 21, 2013","Nearly 6 in 10 uninsured Americans ""can get health insurance for what may be the equivalent of your cell phone bill."""
Mostly True,"October 17, 2013","""Half of all CEOs say that the shutdown and the threat of shutdown set back their plans to hire over the next six months."""
Mostly True,"October 1, 2013","""At the time that (Medicare Part D) was passed (it) was actually less popular than the Affordable Care Act, according to the polls."""
Mostly True,"September 26, 2013","""Up to half of all Americans have a pre-existing condition."""
Mostly True,"July 30, 2013","""This year, we're off to our best private-sector jobs growth since 1999."""
Mostly True,"July 24, 2013","The minimum wage is ""lower right now than it was when Ronald Reagan took office."""
Mostly True,"June 25, 2013","As a student at Occidental College in Los Angeles from 1979 to 1981, ""there were days where folks couldn't go outside. … because of all the pollution in the air."""
Mostly True,"April 30, 2013","Long-term federal investment in U.S. airports is urgent because ""there was a recent survey of the top airports … in the world, and there was not a single U.S. airport that came in the top 25."""
Mostly True,"April 17, 2013","A ""wide majority of NRA households ... supported this legislation"" on gun background checks."
Mostly True,"March 1, 2013",Says a majority of Americans -- and Republicans -- support his approach for deficit reduction.
Mostly True,"February 19, 2013","The sequester ""won’t consider whether we’re cutting some bloated program that has outlived its usefulness, or a vital service that Americans depend on every single day. It doesn’t make those distinctions."""
Mostly True,"February 12, 2013",Says he and Mitt Romney agreed on tying minimum wage increases to inflation.
Mostly True,"February 12, 2013","Says ""overwhelming majorities of Americans"" support gun legislation ""like background checks."""
True,"September 6, 2012","""After a decade of decline, this country created over half a million manufacturing jobs in the last two and a half years."""
True,"August 22, 2012","""Mitt Romney says class sizes don’t matter."""
True,"August 9, 2012","Says Mitt Romney ""wants to end tax credits for wind producers."""
True,"August 4, 2012",Says Mitt Romney opposes requiring employers to cover contraception and would eliminate funding for Planned Parenthood.
True,"July 14, 2012","Says Mitt Romney had millions in the Cayman Islands, a tax haven."
True,"July 14, 2012","Says Mitt Romney ""had millions in a Swiss bank account."""
True,"May 5, 2012","Says Mitt Romney is proposing a ""tax cut that gives an average of $250,000 to every millionaire in this country."""
True,"April 17, 2012","In the past three years, ""we've added enough new oil and gas pipeline to circle the Earth and then some."""
True,"April 10, 2012","""98 percent of American families"" make ""under $250,000 a year."""
True,"April 3, 2012","""Republicans in Congress refuse to list a single tax loophole they are willing to close."""
True,"March 29, 2012","Last year, ""Exxon pocketed nearly $4.7 million every hour."""
True,"March 20, 2012","President Barack Obama ""reduced the cost of prescription drugs for nearly 3.6 million Americans in 2011."""
True,"January 24, 2012","""Today, for the first time in fifteen years, Master Lock’s unionized plant in Milwaukee is running at full capacity."""
True,"January 24, 2012",Says he eliminated an EPA rule that treated spilled milk like it was oil.
True,"November 30, 2011","For ""the average middle-class family, your taxes today are lower than when I took office."""
True,"October 18, 2011","Says his proposed payroll tax cut ""will mean an extra $1,500 in your pocket compared to if we do nothing."""
True,"July 25, 2011","""The deficit was on track to top $1 trillion the year I took office."""
True,"July 25, 2011","""President Reagan did it (raised the debt ceiling) 18 times.  George W. Bush did it seven times."""
True,"July 6, 2011","""Young veterans have a higher unemployment rate than people who didn’t serve."""
True,"May 10, 2011",The Obama administration increased the deportation of illegal immigrants convicted of crimes by 70 percent.
True,"May 10, 2011","""The Border Patrol has 20,000 agents – more than twice as many as there were in 2004."""
True,"April 13, 2011","""Foreign aid makes up about 1 percent of our entire budget."""
True,"January 25, 2011","The United States has ""one of the highest corporate tax rates in the world."""
True,"January 25, 2011","""Two years after the worst recession most of us have ever known ... corporate profits are up."""
True,"December 13, 2010","""When Social Security was passed, there were all kinds of lawsuits,"" just as there have been in the legal battle over the new health care law."
True,"October 27, 2010","""Most of the jobs that we lost were lost before the economic policies we put in place had any effect."""
True,"September 20, 2010","""There's a big chunk of the country that thinks that I have been too soft on Wall Street."""
True,"August 9, 2010","""The unemployment rate for folks who've never gone to college is almost double what it is for those who have."""
True,"February 2, 2010","Some Republicans who voted against the stimulus ""have been all too happy to claim credit for Recovery Act projects and the jobs those projects have produced. They come to the ribbon cuttings."""
True,"January 27, 2010","""We cut taxes for 95 percent of working families."""
False,"February 26, 2008","""We are bogged down in a war that John McCain now suggests might go on for another 100 years."""
False,"February 13, 2008","""Hillary Clinton believed NAFTA was a 'boon' to our economy."""
False,"February 21, 2008","""As has been noted by many observers, including Bill Clinton's former secretary of labor, my plan does more than anybody to reduce costs."""
False,"February 10, 2008","""She said, you know, 'I voted for it, but I hoped it wouldn't pass.' That was a quote on live TV."""
False,"February 10, 2008","Americans ""have never paid more for gas at the pump."""
False,"January 21, 2008","""I know that Hillary on occasion has said — just last year said this (NAFTA) was a boon to the economy."""
False,"December 26, 2007","""Gas prices have never been higher, and Exxon Mobil's profits have never been higher."""
False,"December 13, 2007","""If we went back to the obesity rates that existed in 1980, that would save the Medicare system a trillion dollars."""
False,"November 8, 2007","""John wasn't this raging populist four years ago"" when he ran for president."
False,"November 15, 2007","""Right now, an employer has more of a chance of getting hit by lightning than be prosecuted for hiring an undocumented worker. That has to change."""
False,"August 20, 2007","If African-Americans vote their percentage of the population in 2008, ""Mississippi is suddenly a Democratic state."""
Half True,"August 20, 2012","Says Paul Ryan ""tried to change the whole game"" for Social Security"
Half True,"August 17, 2012","Paul Ryan’s Medicare plan ""could raise future retirees’ costs more than $6,000."""
Half True,"August 17, 2012","Says ""Paul Ryan supports banning all abortions, even in cases of rape or incest."""
Half True,"August 9, 2012","""We do know that Romney personally approved over $70 million in fictional losses to the IRS as part of the notorious 'Son of Boss' tax scandal, one of the largest tax avoidance schemes in history."""
Half True,"August 2, 2012","Says Mitt Romney ""paid only 14 percent in taxes — probably less than you."""
Half True,"July 31, 2012","Says Romney would add ""trillions"" to the deficit while Obama would ""cut the deficit by $4 trillion."""
Half True,"July 3, 2012","""Mitt Romney's companies were pioneers in outsourcing U.S. jobs to low-wage countries."""
Half True,"June 28, 2012","""If you're one of the more than 250 million Americans who already have health insurance, you will keep your health insurance."""
Half True,"June 12, 2012","""When Mitt Romney was governor, Massachusetts ... (had) more debt per person than any other state in the country."""
Half True,"June 4, 2012","When Mitt Romney was governor, Massachusetts lost 40,000 manufacturing jobs, a rate twice the national average, and fell to 47th in job creation, fourth from the bottom."
Half True,"June 4, 2012","""Romney outsourced call center jobs to India."""
Half True,"June 4, 2012","""When Mitt Romney was governor, Massachusetts lost 40,000 manufacturing jobs, a rate twice the national average."""
Half True,"April 27, 2012",Says Mitt Romney's comments indicated he would not have pursued Osama bin Laden.
Half True,"April 18, 2012","Under Republican economic policies, ""the typical American family saw their incomes fall by about 6 percent."""
Half True,"April 13, 2012","""We've brought trade cases against China at nearly twice the rate as the last administration."""
Half True,"April 3, 2012","Under the House Republican budget, ""if these cuts were to be spread out evenly … the year after next, nearly 10 million college students would see their financial aid cut by an average of more than $1,000 each."""
Half True,"March 15, 2012","""(GM and Chrysler) repaid their loans."""
Half True,"February 23, 2012","The U.S. has a ""record number of oil rigs operating right now – more working oil and gas rigs than the rest of the world combined."""
Half True,"January 18, 2012","""For the first time in 13 years, our dependence on foreign oil is below 50 percent."""
Half True,"January 24, 2012","""(After the auto bailout) General Motors is back on top as the world’s No. 1 automaker."""
Half True,"January 18, 2012","Says PolitiFact has said he ""kept a campaign promise to toughen ethics rules."""
Half True,"January 3, 2012","President Barack Obama ""put in place historic fuel efficiency standards for cars and trucks to lower costs at the pump and reduce dependence on foreign oil."""
Half True,"January 3, 2012","Says he lived up to a 2008 promise when he ""closed corporate tax loopholes that were sending profits overseas."""
Half True,"December 28, 2011","""We don't take a dime from D.C. lobbyists or special-interest PACs -- never have and never will."""
Half True,"November 3, 2011","""Because of Barack Obama the mission in Iraq ended."""
Half True,"October 6, 2011","The Arab Spring … ""drove up gas prices."""
Half True,"September 26, 2011",Says Texas wildfires are linked to climate change.
Half True,"September 22, 2011","""A construction worker who’s making $50 or $60 grand a year shouldn’t be paying higher tax rates than the guy who’s making $50 million a year. And that’s how it’s working right now."""
Half True,"August 30, 2011","The United States ""won every major battle"" of the Vietnam War. ""Every single one."""
Half True,"July 31, 2011","The debt ceiling deal will result in ""the lowest level of annual domestic spending since Dwight Eisenhower was president."""
Mostly True,"October 27, 2012","Says ""Mitt Romney’s plan rolls back regulations"" on banks."
Mostly True,"October 18, 2012","""We got back every dime used to rescue the banks."""
Mostly True,"October 22, 2012","Says Mitt Romney ""just gave a speech a few weeks ago"" and said ""we should still have troops in Iraq."""
Mostly True,"October 16, 2012","""George Bush never suggested that we eliminate funding for Planned Parenthood."""
Mostly True,"October 16, 2012",Says Mitt Romney refused to say whether he'd sign the Lilly Ledbetter bill.
Mostly True,"October 3, 2012","Romney ""would turn Medicare into a voucher program."""
Mostly True,"September 17, 2012","Chinese tire imports threatened 1,000 American jobs, so President Obama ""stood up to China and protected American workers. Mitt Romney attacked Obama's decision."""
Mostly True,"September 23, 2012","""Taxes are lower on families than they've been probably in the last 50 years."""
Mostly True,"September 13, 2012","""Even today part of Romney’s fortune is invested in China."""
Mostly True,"September 6, 2012",Says Romney called Russia our No. 1 enemy.
Mostly True,"September 6, 2012","""I've cut taxes for ... middle-class families, small businesses."""
Mostly True,"August 21, 2012","Says under the Romney-Ryan budget ... ""the American Opportunity Tax Credit for college tuition would be eliminated."""
Mostly True,"August 18, 2012","""His new running mate, Congressman Ryan, put forward a plan that would let Governor Romney pay less than 1 percent in taxes each year."""
Mostly True,"August 14, 2012","Says that as Massachusetts governor, Mitt Romney ""condemned coal-fired plants, saying they kill people."""
Mostly True,"August 15, 2012","Says Mitt Romney and Paul Ryan ""want to turn Medicare into a voucher system."""
